ticker,name,asset_type,bucket,priority,buy_zone_low,buy_zone_high,sell_zone_low,sell_zone_high,alert_mode,notes
VOO,Vanguard S&P 500 ETF,ETF,core_index,high,660,680,780,850,normal,Core S&P 500; current near buy zone; good default long-term add
SPY,SPDR S&P 500 ETF,ETF,core_index,high,720,740,830,900,normal,More liquid S&P 500 ETF; similar role to VOO
QQQ,Invesco QQQ Trust,ETF,core_growth,high,690,705,805,900,risk_adjusted,Nasdaq-100; buy only in smaller clips when SMH/tech selloff is active
QQQM,Invesco Nasdaq 100 ETF,ETF,core_growth,high,282,292,335,375,risk_adjusted,Lower-fee QQQ alternative for long-term holding
SMH,VanEck Semiconductor ETF,ETF,semi_core,high,535,570,660,730,risk_adjusted,Semiconductor basket; do not treat single-day crash as all-clear buy
MSFT,Microsoft,Stock,quality_core,high,395,420,500,580,normal,Add: best quality AI/cloud/software compounder
BRK.B,Berkshire Hathaway Class B,Stock,defensive_core,high,460,490,560,620,normal,Add: defensive ballast; useful when AI/tech rotates lower
TMUS,T-Mobile US,Stock,defensive_growth,medium,168,178,205,230,normal,Add: telecom growth + buyback profile; held up well on Friday
MA,Mastercard,Stock,quality_core,medium,460,490,570,650,normal,Add: payment network quality; similar to V but slightly richer valuation
NVDA,NVIDIA,Stock,core_ai,high,195,210,255,300,risk_adjusted,"Still top AI core; if QQQ/SMH are crashing, alert should say small tranche only"
AVGO,Broadcom,Stock,core_ai_repair,high,365,395,480,540,risk_adjusted,Keep but downgrade from top-upside; wait for 425-440 reclaim for trend confirmation
ASML,ASML Holding,Stock,semi_core,high,1550,1650,1900,2100,risk_adjusted,High-quality semiconductor equipment; add in tranches only
TSM,Taiwan Semiconductor Manufacturing,Stock,semi_core,high,390,415,500,560,risk_adjusted,Core AI supply chain; geopolitical risk remains
GOOGL,Alphabet,Stock,quality_core,high,345,370,440,520,normal,Strong quality compounder; AI/search risk but valuation reasonable
META,Meta Platforms,Stock,quality_growth,medium,540,590,700,820,risk_adjusted,Strong cash flow but AI capex/ads sentiment can swing
AMZN,Amazon,Stock,quality_growth,medium,225,245,300,360,normal,AWS + retail operating leverage; current price slightly above ideal buy zone
V,Visa,Stock,quality_core,high,305,325,380,440,normal,Payment network; already one of the best steady compounders
LLY,Eli Lilly,Stock,healthcare_core,high,1080,1130,1300,1450,normal,GLP-1/obesity leader; current price near buy zone
GE,GE Aerospace,Stock,industrial_quality,medium,310,330,380,430,normal,Industrial/aerospace quality; helps diversify away from AI
RTX,RTX,Stock,defense_quality,medium,168,182,210,240,normal,Defense/aerospace defensive growth; held up well in tech selloff
ANET,Arista Networks,Stock,ai_networking,medium,145,155,195,230,risk_adjusted,Good AI networking name but high beta; now near buy zone
CEG,Constellation Energy,Stock,ai_power,medium,245,260,310,360,risk_adjusted,AI power / nuclear theme; not as speculative as pure AI cloud
ETN,Eaton,Stock,ai_power_infra,medium,350,380,465,550,risk_adjusted,"Good electrification theme, but do not chase above buy zone"
CCJ,Cameco,Stock,uranium,medium,88,100,130,160,risk_adjusted,Uranium/nuclear high beta; current price just above ideal buy
FCX,Freeport-McMoRan,Stock,copper_cyclical,low,55,62,75,90,risk_adjusted,Copper/cyclical exposure; buy only on deeper weakness
UBER,Uber,Stock,platform_growth,medium,65,72,88,105,normal,Platform growth with reasonable PE; useful non-AI growth exposure
HOOD,Robinhood,Stock,speculative_fintech,medium,70,82,105,135,speculative,High upside if crypto/trading volumes return; position size should be small
COIN,Coinbase,Stock,speculative_crypto,low,125,145,190,250,speculative,Crypto beta; only buy when BTC/crypto setup supports it
PLTR,Palantir,Stock,expensive_ai,low,100,120,160,220,watch_only,Great company but very expensive; current price not an attractive buy zone
CRWV,CoreWeave,Stock,speculative_ai_cloud,low,80,95,130,180,speculative,Very high beta AI infra; keep small and avoid chasing
NBIS,Nebius,Stock,speculative_ai_cloud,low,180,210,280,380,speculative,"High-upside AI cloud; after Friday drop, wait for deeper/cleaner entry"
TTAN,ServiceTitan,Stock,speculative_software,low,68,76,85,95,speculative,Move sell alert lower; 85-90 should already trigger trim/watch
NVDL,GraniteShares 2x Long NVDA Daily ETF,Leveraged ETF,leveraged_ai,low,80,96,130,170,leveraged_warning,Only tiny size; daily reset decay in chop
MVLL,GraniteShares 2x Long MRVL Daily ETF,Leveraged ETF,leveraged_semi,low,90,120,180,240,leveraged_warning,Very high risk after large drawdown; not core holding
